03 Jan 2017 04:31 AM --|-- 2.5hr
11 Feb 2017 06:22 AM --|-- 0.6hr

11 Feb 2017 07:14 AM --|-- 0.1hr

12 Feb 2017 06:53 AM --|-- 0.4hr

12 Feb 2017 07:18 AM --|-- 0.8hr

12 Feb 2017 11:57 PM --|-- 0.9hr

13 Feb 2017 01:14 AM --|-- 0.3hr

13 Feb 2017 01:34 AM --|-- 0.3hr

13 Feb 2017 01:55 AM --|-- 0.3hr

13 Feb 2017 10:19 AM --|-- 0.2hr

14 Feb 2017 10:23 AM --|-- 0.3hr

14 Feb 2017 01:14 PM --|-- 0.7hr

14 Feb 2017 01:59 PM --|-- 0.1hr

14 Feb 2017 02:04 PM --|-- 0.1hr

15 Feb 2017 12:19 AM --|-- 0.0hr

15 Feb 2017 03:51 PM --|-- 0.2hr

16 Feb 2017 02:51 AM --|-- 0.9hr

16 Feb 2017 05:50 AM --|-- 1.3hr

17 Feb 2017 07:24 AM --|-- 0.1hr

17 Feb 2017 09:52 PM --|-- 0.3hr

18 Feb 2017 05:40 AM --|-- 1.4hr

18 Feb 2017 02:14 PM --|-- 0.4hr

19 Feb 2017 05:50 AM --|-- 0.3hr

19 Feb 2017 06:12 AM --|-- 0.3hr

19 Feb 2017 08:18 AM --|-- 0.1hr

19 Feb 2017 08:42 AM --|-- 0.4hr

19 Feb 2017 04:52 PM --|-- 0.5hr

20 Feb 2017 06:29 AM --|-- 1.0hr

20 Feb 2017 07:33 PM --|-- 0.1hr

20 Feb 2017 07:44 PM --|-- 0.1hr

20 Feb 2017 09:01 PM --|-- 0.0hr

22 Feb 2017 03:29 AM --|-- 0.2hr

22 Feb 2017 05:21 AM --|-- 0.1hr

22 Feb 2017 05:31 AM --|-- 0.1hr

22 Feb 2017 05:41 AM --|-- 0.5hr

22 Feb 2017 07:20 AM --|-- 0.1hr

22 Feb 2017 10:21 AM --|-- 0.6hr

22 Feb 2017 10:57 AM --|-- 0.2hr

23 Feb 2017 03:07 AM --|-- 0.0hr

23 Feb 2017 08:47 AM --|-- 0.6hr

24 Feb 2017 02:40 AM --|-- 0.2hr

24 Feb 2017 02:56 AM --|-- 0.6hr

24 Feb 2017 03:31 AM --|-- 0.8hr
